,0
0,0.2936666011810303
1,0.9991742372512817
2,1.6932225227355957
3,1.1102981567382812
4,1.6688101291656494
5,1.0865797996520996
6,1.3915948867797852
7,0.6014891862869263
8,1.1042343378067017
9,1.1528692245483398
10,0.8233070373535156
11,0.6649285554885864
12,0.7441436052322388
13,1.439908742904663
14,0.7873573899269104
15,1.4575958251953125
16,1.13836669921875
17,0.1866166591644287
18,1.0580127239227295
19,1.3523533344268799
20,0.89411461353302
21,0.7171733975410461
22,0.8607929348945618
23,1.263670802116394
24,1.5020811557769775
25,1.4351251125335693
26,1.1275079250335693
27,1.4886064529418945
28,0.9663633704185486
29,0.7338135242462158
30,1.6932225227355957
31,0.45525848865509033
32,0.5137630701065063
33,0.631139874458313
34,0.2804844379425049
35,1.0791804790496826
36,0.3751101493835449
37,0.5901467800140381
38,0.7741730213165283
39,1.1883368492126465
40,0.6565860509872437
41,0.49868226051330566
42,1.477780818939209
43,0.44696033000946045
44,0.7762437462806702
45,1.478455901145935
46,1.6932225227355957
47,1.4245219230651855
48,1.1293880939483643
49,0.920840322971344
50,1.1598732471466064
51,1.187718152999878
52,0.925873339176178
53,0.6874591112136841
54,0.20765900611877441
55,0.6716676950454712
56,0.898384153842926
57,0.9057339429855347
58,0.9569797515869141
59,0.39506852626800537
60,0.34735429286956787
61,1.6932225227355957
62,0.5565989017486572
63,0.573788046836853
64,1.6932225227355957
65,1.1775755882263184
66,1.0733575820922852
67,0.9917858839035034
68,0.6200484037399292
69,0.3044753074645996
70,0.6941172480583191
71,1.0135955810546875
72,1.0981711149215698
73,1.1086374521255493
74,0.47013044357299805
75,0.4378235340118408
76,0.8680954575538635
77,0.7658733129501343
78,0.7353200912475586
79,1.3847706317901611
80,1.039007544517517
81,1.15443754196167
82,1.2178291082382202
83,0.7509354948997498
84,1.5674023628234863
85,0.5415668487548828
86,1.3100298643112183
87,1.0519906282424927
88,1.6932225227355957
89,0.82778400182724
90,0.36003875732421875
91,0.8948156833648682
92,1.674049973487854
93,1.6509416103363037
94,0.6217892169952393
95,1.6932225227355957
96,1.1207304000854492
97,1.092625379562378
98,0.8351924419403076
99,1.6932225227355957
